lang,yyyy,mm,n_path,distance_mean_weighted,distance_mean,n_contrib,flow_id
ca,2003,12,19,2918.09171965676,3499.40027203473,23,513
ca,2004,1,21,960.297475469414,1410.70774651054,38,688
ca,2004,2,24,2577.89296483925,3173.03650415921,41,1306
ca,2004,3,27,3079.6074482422,2572.55855095517,43,595
ca,2004,4,22,592.95136777788,636.992017857935,30,744
ca,2004,5,35,1830.93611740129,1956.24733423205,38,1222
ca,2004,6,28,894.836752620415,924.38484172178,60,803
ca,2004,7,26,723.955148827733,869.697117361459,38,479
ca,2004,8,58,804.572344451856,1104.34743797637,94,1107
ca,2004,9,174,2698.84749346958,2407.91258435127,420,517
ca,2004,10,103,1080.37863024491,1255.25245809276,220,201
ca,2004,11,126,2170.35682110119,2248.00921303972,246,269
ca,2004,12,108,2691.31926625617,2697.9491457383,225,1340
ca,2005,1,92,3102.08471778149,3078.43552469491,147,354
ca,2005,2,112,2531.0266126819,2965.07889052677,226,470
ca,2005,3,231,2052.83910400429,2112.02354782668,388,242
ca,2005,4,171,2298.63325062272,3205.25110110186,403,386
ca,2005,5,142,1822.98835961023,1949.37099104132,202,965
ca,2005,6,234,2011.03169857489,2431.98898115849,359,6
ca,2005,7,222,1847.59448754666,2246.14385034478,343,165
ca,2005,8,226,1783.64711008759,1710.10237339594,363,160
ca,2005,9,305,2465.31235385442,3057.41906718015,458,1328
ca,2005,10,292,1589.36354254808,2078.70164444768,494,535
ca,2005,11,246,1462.65804625626,1922.86868964924,454,619
ca,2005,12,552,1586.68536170556,1669.9023138764,933,541
ca,2006,1,409,1448.95450715887,1584.98895836605,741,240
ca,2006,2,288,1764.89113489363,2138.91452097154,468,738
ca,2006,3,396,1981.66325845806,2785.65446048903,671,351
ca,2006,4,315,2012.92098811177,2172.20526595683,432,174
ca,2006,5,384,1930.64461037551,2249.50982016241,542,909
ca,2006,6,342,1738.36664117164,2273.38346512584,506,1269
ca,2006,7,329,1994.90781054506,2126.31589400055,472,406
ca,2006,8,370,2245.04424898381,2341.00872738266,550,1146
ca,2006,9,383,2247.83003773788,2585.76384827719,548,458
ca,2006,10,422,1675.06600698457,2073.02720879454,638,758
ca,2006,11,366,1749.53122227734,1968.19474357714,568,677
ca,2006,12,566,1377.72604076335,1665.32024822302,855,751
ca,2007,1,572,1751.25285432476,2196.44616760048,1070,1073
ca,2007,2,395,2083.38860827834,1973.17486867861,642,1215
ca,2007,3,589,1460.19586362237,1734.59935862429,1000,825
ca,2007,4,576,1472.09267402636,1757.13252020685,881,1013
ca,2007,5,548,1582.54491693498,1822.22938366185,887,442
ca,2007,6,565,1517.59229271017,1559.67715438859,942,623
ca,2007,7,376,1459.65379145556,1873.09759931602,692,943
ca,2007,8,446,1570.25626833243,1660.81450447769,795,643
ca,2007,9,809,1176.54043156905,1420.27489272119,1289,900
ca,2007,10,568,2052.26187708782,2615.24520929677,874,56
ca,2007,11,531,1656.85798270981,2273.5481969378,927,1127
ca,2007,12,534,1341.20692466679,1518.42878792219,838,1181
ca,2008,1,846,1508.00641130063,1596.39156809629,1280,141
ca,2008,2,675,1594.93602737406,1863.58857640952,1176,925
