lang,yyyy,n_path,n_month,distance_mean_weighted,distance_mean,n_contrib,distance_ratio,contrib_ratio
ca,2003,19,1,2918.09171965676,3499.40027203473,23,0.833883377953798,1
ca,2004,752,12,2029.10670421703,1985.58751889493,1493,1.0219175356956,1
ca,2005,2825,12,1924.72639884912,2235.96776138494,4770,0.860802392632421,1
ca,2006,4570,12,1812.83199102303,2141.5245816323,6991,0.84651467770744,1
ca,2007,6509,12,1571.4944392228,1850.81005194298,10837,0.849084668398602,1
ca,2008,3824,8,1474.81480009817,1708.99231065378,6139,0.862973338676978,1
cs,2003,57,10,1643.1176681357,2343.92016356995,93,0.701012642697318,1
cs,2004,298,12,2477.04921483315,2513.63034778023,411,0.98544689238838,1
cs,2005,1692,12,1998.49263852072,2240.99556210028,2677,0.891787860859357,1
cs,2006,5649,12,1703.41679400944,1896.85119139042,9142,0.898023419939869,1
cs,2007,8723,12,1554.50827603828,1794.82308733598,13664,0.866106685949536,1
cs,2008,5343,8,1664.8952802618,1857.106729092,8157,0.896499514099451,1
da,2002,29,3,3958.73056042113,4190.45170087644,31,0.944702586499961,1
da,2003,741,12,3932.90462715969,4333.88092216719,949,0.907478700451466,1
da,2004,1456,12,3320.17926409206,3481.37546739841,1881,0.953697552931052,1
da,2005,2913,12,2915.96519590758,3207.41385866501,4164,0.909132816780079,1
da,2006,5063,12,2735.44617359063,2873.92639477625,8007,0.951814972910469,1
da,2007,5271,12,2562.72639064502,2801.85186478665,8740,0.914654490786278,1
da,2008,2790,8,2713.64459468855,2827.28607944297,4096,0.959805452451135,1
de,2002,794,5,2567.93829246784,2729.59894046471,1246,0.940774944772893,1
de,2003,8712,12,2079.55291368438,2207.74376546374,14415,0.941935810765415,1
de,2004,58030,12,1872.52881733178,2022.10551789648,99266,0.926029230798848,1
de,2005,140780,12,1860.39225499876,2015.97570138046,247545,0.922824741253003,1
de,2006,232551,12,1698.29892571639,1821.6850919554,406072,0.932268114404687,1
de,2007,219551,12,1571.44289639246,1727.25832609105,350319,0.909790314890986,1
de,2008,102957,8,1488.05835098036,1618.20456493173,149043,0.919573694963056,1
en,2002,5986,11,3816.22103200883,3750.55094508329,9009,1.0175094507146,1
en,2003,13908,12,3895.94531007019,3988.45288008718,21736,0.976806151959611,1
en,2004,61719,12,3661.18139202098,3860.17094411497,100756,0.948450585485763,1
en,2005,214853,12,3716.65125621034,4051.85568774056,385168,0.917271379495467,1
en,2006,497518,12,3480.49519446443,3833.26735240345,926947,0.907970896494387,1
en,2007,635554,12,3191.34154233027,3570.44303380814,1159161,0.89382228258841,1
en,2008,354690,8,3120.34378855808,3463.31630420184,620290,0.900969912789182,1
eo,2002,93,2,1912.23357514747,2328.32536516409,140,0.821291389836618,1
eo,2003,675,12,3591.75588032535,4084.78316597368,945,0.879301479266939,1
eo,2004,1905,12,3023.1116738193,3241.07290091584,2932,0.93275028555052,1
eo,2005,2319,12,2715.48148631728,2843.78209758477,3637,0.954883810761572,1
eo,2006,3628,12,1998.71474356646,2428.16418668765,5407,0.823138218792767,1
eo,2007,4134,12,2108.79921908429,2418.82615804868,5767,0.871827523473414,1
eo,2008,2922,8,2950.90764448955,3370.88625041406,3852,0.875410033230007,1
es,2002,45,3,5701.89855171147,4582.54389855467,76,1.24426490568041,1
