lang,yyyy,mm,n_path,distance_mean_weighted,distance_mean,n_contrib,distance_ratio,contrib_ratio
ca,2003,12,19,2918.09171965676,3499.40027203473,23,0.833883377953798,1.2105263157894737
ca,2004,1,21,960.297475469414,1410.70774651054,38,0.680720353201972,1.8095238095238095
ca,2004,2,24,2577.89296483925,3173.03650415921,41,0.812437222660423,1.7083333333333333
ca,2004,3,27,3079.6074482422,2572.55855095517,43,1.19709906975636,1.5925925925925926
ca,2004,4,22,592.95136777788,636.992017857935,30,0.930861535395444,1.3636363636363636
ca,2004,5,35,1830.93611740129,1956.24733423205,38,0.935943060656004,1.0857142857142857
ca,2004,6,28,894.836752620415,924.38484172178,60,0.968034861923603,2.1428571428571429
ca,2004,7,26,723.955148827733,869.69711736146,38,0.832422155225847,1.4615384615384615
ca,2004,8,58,804.572344451856,1104.34743797637,94,0.728550016764807,1.6206896551724138
ca,2004,9,174,2698.84749346958,2407.91258435127,420,1.12082453117653,2.4137931034482759
ca,2004,10,103,1080.37863024491,1255.25245809275,220,0.860686329096262,2.1359223300970874
ca,2004,11,126,2170.35682110119,2248.00921303972,246,0.965457262591229,1.9523809523809524
ca,2004,12,108,2691.31926625617,2697.9491457383,225,0.997542622516587,2.0833333333333333
ca,2005,1,92,3102.0847177815,3078.43552469491,147,1.0076822115964,1.5978260869565217
ca,2005,2,112,2531.02661268191,2965.07889052677,226,0.853611895713252,2.0178571428571429
ca,2005,3,231,2052.83910400429,2112.02354782668,388,0.971977375023449,1.6796536796536797
ca,2005,4,171,2298.63325062272,3205.25110110186,403,0.717146076272315,2.3567251461988304
ca,2005,5,142,1822.98835961023,1949.37099104132,202,0.935167481196803,1.4225352112676056
ca,2005,6,234,2011.03169857489,2431.98898115849,359,0.82690822785592,1.5341880341880342
ca,2005,7,222,1847.59448754666,2246.14385034478,343,0.822562850221303,1.5450450450450450
ca,2005,8,226,1783.64711008759,1710.10237339594,363,1.04300604328477,1.6061946902654867
ca,2005,9,305,2465.31235385442,3057.41906718015,458,0.806337731166232,1.5016393442622951
ca,2005,10,292,1589.36354254808,2078.70164444768,494,0.764594354747038,1.6917808219178082
ca,2005,11,246,1462.65804625626,1922.86868964924,454,0.760664549862254,1.8455284552845528
ca,2005,12,552,1586.68536170556,1669.9023138764,933,0.950166574727553,1.6902173913043478
ca,2006,1,409,1448.95450715887,1584.98895836605,741,0.914173249921303,1.8117359413202934
ca,2006,2,288,1764.89113489363,2138.91452097154,468,0.825134018956484,1.6250000000000000
ca,2006,3,396,1981.66325845806,2785.65446048903,671,0.711381575340888,1.6944444444444444
ca,2006,4,315,2012.92098811177,2172.20526595683,432,0.926671627059656,1.3714285714285714
ca,2006,5,384,1930.64461037552,2249.50982016241,542,0.858251247925705,1.4114583333333333
ca,2006,6,342,1738.36664117164,2273.38346512584,506,0.764660545762971,1.4795321637426901
ca,2006,7,329,1994.90781054506,2126.31589400055,472,0.93819917170997,1.4346504559270517
ca,2006,8,370,2245.04424898381,2341.00872738266,550,0.959007210320764,1.4864864864864865
ca,2006,9,383,2247.83003773788,2585.76384827719,548,0.869309871137513,1.4308093994778068
ca,2006,10,422,1675.06600698457,2073.02720879454,638,0.808028953927055,1.5118483412322275
ca,2006,11,366,1749.53122227734,1968.19474357713,568,0.888901480906114,1.5519125683060109
ca,2006,12,566,1377.72604076336,1665.32024822302,855,0.827303962846461,1.5106007067137809
ca,2007,1,572,1751.25285432476,2196.44616760048,1070,0.797311985222897,1.8706293706293706
ca,2007,2,395,2083.38860827834,1973.17486867861,642,1.05585604263931,1.6253164556962025
ca,2007,3,589,1460.19586362237,1734.59935862429,1000,0.841805836236703,1.6977928692699491
ca,2007,4,576,1472.09267402636,1757.13252020685,881,0.83778124705874,1.5295138888888889
ca,2007,5,548,1582.54491693497,1822.22938366185,887,0.868466358365257,1.6186131386861314
ca,2007,6,565,1517.59229271017,1559.67715438859,942,0.973016940358455,1.6672566371681416
ca,2007,7,376,1459.65379145556,1873.09759931602,692,0.77927268284822,1.8404255319148936
ca,2007,8,446,1570.25626833243,1660.81450447769,795,0.945473599910702,1.7825112107623318
ca,2007,9,809,1176.54043156905,1420.27489272118,1289,0.828389234787397,1.5933250927070457
ca,2007,10,568,2052.26187708782,2615.24520929676,874,0.784730192714767,1.5387323943661972
ca,2007,11,531,1656.85798270981,2273.5481969378,927,0.728754281497705,1.7457627118644068
ca,2007,12,534,1341.20692466679,1518.42878792219,838,0.883286022587927,1.5692883895131086
